%time SOC Ptotal Psensor1
4160 0.760630960997 0.665 0.7
4170 0.760496954292 0.665 0.7
4180 0.760362944829 0.665 0.7
4190 0.760228932606 0.665 0.7
4200 0.760094917623 0.665 0.7
4210 0.759960899878 0.665 0.7
4220 0.759919353838 0.0095 0.01
4230 0.759917439305 0.0095 0.01
4240 0.759915524771 0.0095 0.01
4250 0.759821135964 0.665 0.7
4260 0.759687112573 0.665 0.7
4270 0.759553086417 0.665 0.7
4280 0.759419057495 0.665 0.7
4290 0.759285025804 0.665 0.7
4300 0.759150991345 0.665 0.7
4310 0.759016954115 0.665 0.7
4320 0.758962189554 0.0095 0.01
4330 0.758960274739 0.0095 0.01
4340 0.758958359922 0.0095 0.01
4350 0.758877169873 0.665 0.7
4360 0.75874312698 0.665 0.7
4370 0.758609081313 0.665 0.7
4380 0.758475032871 0.665 0.7
4390 0.758340981653 0.665 0.7
4400 0.758206927657 0.665 0.7
4410 0.758072870882 0.665 0.7
4420 0.758004883899 0.0095 0.01
4430 0.7580029688 0.0095 0.01
4440 0.758001053701 0.0095 0.01
4450 0.757933066247 0.665 0.7
4460 0.757799003791 0.665 0.7
4470 0.757664938552 0.665 0.7
4480 0.757530870529 0.665 0.7
4490 0.757396799721 0.665 0.7
4500 0.757262726126 0.665 0.7
4510 0.757128649743 0.665 0.7
4520 0.757047436417 0.0095 0.01
4530 0.757045521034 0.0095 0.01
4540 0.75704360565 0.0095 0.01
4550 0.75698882465 0.665 0.7
4560 0.756854742567 0.665 0.7
4570 0.756720657693 0.665 0.7
4580 0.756586570025 0.665 0.7
4590 0.756452479563 0.665 0.7
4600 0.756318386304 0.665 0.7
4610 0.756184290248 0.665 0.7
4620 0.75608984664 0.0095 0.01
4630 0.756087930972 0.0095 0.01
4640 0.756086015303 0.0095 0.01
4650 0.756044444631 0.665 0.7
4660 0.755910342856 0.665 0.7
4670 0.755776238281 0.665 0.7
4680 0.755642130903 0.665 0.7
4690 0.75550802072 0.665 0.7
4700 0.755373907733 0.665 0.7
4710 0.755239791938 0.665 0.7
4720 0.755132114086 0.0095 0.01
4730 0.755130198132 0.0095 0.01
4740 0.755128282177 0.0095 0.01
4750 0.755099925725 0.665 0.7
4760 0.754965804193 0.665 0.7
4770 0.754831679849 0.665 0.7
4780 0.754697552693 0.665 0.7
4790 0.754563422724 0.665 0.7
4800 0.754429289939 0.665 0.7
4810 0.754295154338 0.665 0.7
4820 0.754174238259 0.0095 0.01
4830 0.754172322018 0.0095 0.01
4840 0.754170405776 0.0095 0.01
4850 0.754155267459 0.665 0.7
4860 0.7540211261 0.665 0.7
4870 0.753886981919 0.665 0.7
4880 0.753752834917 0.665 0.7
4890 0.75361868509 0.665 0.7
4900 0.753484532439 0.665 0.7
4910 0.753350376961 0.665 0.7
4920 0.753216218655 0.0095 0.01
4930 0.753214302122 0.0095 0.01
4940 0.753212385592 0.0095 0.01
4950 0.753210469061 0.665 0.7
4960 0.753076308087 0.665 0.7
4970 0.752942143999 0.665 0.7
4980 0.752807977079 0.665 0.7
4990 0.752673807325 0.665 0.7
5000 0.752539634736 0.665 0.7
5010 0.75240545931 0.665 0.7
5020 0.752271281046 0.0095 0.01
5030 0.752256137922 0.0095 0.01
5040 0.752254221103 0.0095 0.01
5050 0.752252304284 0.665 0.7
5060 0.752131349653 0.665 0.7
5070 0.751997165586 0.665 0.7
5080 0.751862978676 0.665 0.7
5090 0.751728788921 0.665 0.7
5100 0.751594596321 0.665 0.7
5110 0.751460400874 0.665 0.7
5120 0.751326202578 0.665 0.7
5130 0.751297828885 0.0095 0.01
5140 0.751295911776 0.0095 0.01
5150 0.751293994666 0.0095 0.01
5160 0.751186250283 0.665 0.7
5170 0.751052046163 0.665 0.7
5180 0.750917839189 0.665 0.7
5190 0.750783629359 0.665 0.7
5200 0.750649416674 0.665 0.7
5210 0.75051520113 0.665 0.7
5220 0.750380982727 0.665 0.7
5230 0.750339374464 0.0095 0.01
5240 0.750337457063 0.0095 0.01
5250 0.750335539662 0.0095 0.01
5260 0.750241009452 0.665 0.7
5270 0.750106785203 0.665 0.7
5280 0.749972558089 0.665 0.7
5290 0.749838328109 0.665 0.7
5300 0.749704095261 0.665 0.7
5310 0.749569859545 0.665 0.7
5320 0.749435620958 0.665 0.7
5330 0.749380774099 0.0095 0.01
5340 0.749378856406 0.0095 0.01
5350 0.749376938712 0.0095 0.01
5360 0.749295626623 0.665 0.7
5370 0.749161382166 0.665 0.7
5380 0.749027134835 0.665 0.7
5390 0.748892884626 0.665 0.7
5400 0.748758631539 0.665 0.7
5410 0.748624375571 0.665 0.7
5420 0.748490116722 0.665 0.7
5430 0.748422027219 0.0095 0.01
5440 0.748420109232 0.0095 0.01
5450 0.748418191244 0.0095 0.01
5460 0.748350101244 0.665 0.7
5470 0.748215836503 0.665 0.7
5480 0.748081568875 0.665 0.7
5490 0.747947298358 0.665 0.7
5500 0.747813024951 0.665 0.7
5510 0.747678748653 0.665 0.7
5520 0.747544469461 0.665 0.7
5530 0.74746313324 0.0095 0.01
5540 0.747461214958 0.0095 0.01
5550 0.747459296676 0.0095 0.01
5560 0.747404432757 0.665 0.7
5570 0.74727014765 0.665 0.7
5580 0.747135859644 0.665 0.7
5590 0.747001568739 0.665 0.7
5600 0.746867274931 0.665 0.7
5610 0.74673297822 0.665 0.7
5620 0.746598678605 0.665 0.7
5630 0.746504091567 0.0095 0.01
5640 0.746502172989 0.0095 0.01
5650 0.746500254411 0.0095 0.01
5660 0.746458620589 0.665 0.7
5670 0.746324315034 0.665 0.7
5680 0.746190006568 0.665 0.7
5690 0.746055695191 0.665 0.7
5700 0.7459213809 0.665 0.7
5710 0.745787063694 0.665 0.7
5720 0.745652743571 0.665 0.7
5730 0.745544901592 0.0095 0.01
5740 0.745542982717 0.0095 0.01
5750 0.745541063842 0.0095 0.01
5760 0.745512664157 0.665 0.7
5770 0.74537833807 0.665 0.7
5780 0.745244009061 0.665 0.7
5790 0.745109677127 0.665 0.7
5800 0.744975342269 0.665 0.7
5810 0.744841004483 0.665 0.7
5820 0.744706663768 0.665 0.7
5830 0.744585562697 0.0095 0.01
5840 0.744583643523 0.0095 0.01
5850 0.744581724349 0.0095 0.01
5860 0.744566562866 0.665 0.7
5870 0.744432216162 0.665 0.7
5880 0.744297866523 0.665 0.7
5890 0.744163513949 0.665 0.7
5900 0.744029158436 0.665 0.7
5910 0.743894799984 0.665 0.7
5920 0.743760438591 0.665 0.7
5930 0.743626074254 0.0095 0.01
5940 0.743624154777 0.0095 0.01
5950 0.743622235303 0.0095 0.01
5960 0.743620315828 0.665 0.7
5970 0.743485948704 0.665 0.7
5980 0.743351578349 0.665 0.7
5990 0.743217205046 0.665 0.7
6000 0.743082828792 0.665 0.7
6010 0.742948449586 0.665 0.7
6020 0.742814067426 0.665 0.7
6030 0.74267968231 0.0095 0.01
6040 0.742664515835 0.0095 0.01
6050 0.74266259606 0.0095 0.01
6060 0.742660676284 0.665 0.7
6070 0.742539535077 0.665 0.7
6080 0.742405143918 0.665 0.7
6090 0.742270749797 0.665 0.7
6100 0.742136352713 0.665 0.7
6110 0.742001952664 0.665 0.7
6120 0.741867549649 0.665 0.7
6130 0.741733143664 0.665 0.7
6140 0.741704726046 0.0095 0.01
6150 0.741702805968 0.0095 0.01
6160 0.74170088589 0.0095 0.01
6170 0.741592974655 0.665 0.7
6180 0.741458562601 0.665 0.7
6190 0.741324147572 0.665 0.7
6200 0.741189729568 0.665 0.7
6210 0.741055308585 0.665 0.7
6220 0.740920884623 0.665 0.7
6230 0.740786457679 0.665 0.7
6240 0.740744784744 0.0095 0.01
6250 0.740742864363 0.0095 0.01
6260 0.740740943981 0.0095 0.01
6270 0.740646266798 0.665 0.7
6280 0.740511833757 0.665 0.7
6290 0.740377397729 0.665 0.7
6300 0.740242958712 0.665 0.7
6310 0.740108516704 0.665 0.7
6320 0.739974071703 0.665 0.7
6330 0.739839623707 0.665 0.7
6340 0.739784691254 0.0095 0.01
6350 0.739782770568 0.0095 0.01
6360 0.739780849881 0.0095 0.01
6370 0.739699410858 0.665 0.7
6380 0.739564956738 0.665 0.7
6390 0.739430499618 0.665 0.7
6400 0.739296039495 0.665 0.7
6410 0.739161576367 0.665 0.7
6420 0.739027110233 0.665 0.7
6430 0.738892641091 0.665 0.7
6440 0.738824444892 0.0095 0.01
6450 0.738822523899 0.0095 0.01
6460 0.738820602905 0.0095 0.01
6470 0.738752406175 0.665 0.7
6480 0.738617930882 0.665 0.7
6490 0.738483452574 0.665 0.7
6500 0.738348971251 0.665 0.7
6510 0.738214486909 0.665 0.7
6520 0.738079999547 0.665 0.7
6530 0.737945509164 0.665 0.7
6540 0.737864044958 0.0095 0.01
6550 0.737862123658 0.0095 0.01
6560 0.737860202356 0.0095 0.01
6570 0.737805252082 0.665 0.7
6580 0.737670755519 0.665 0.7
6590 0.737536255928 0.665 0.7
6600 0.737401753308 0.665 0.7
6610 0.737267247655 0.665 0.7
6620 0.737132738969 0.665 0.7
6630 0.736998227248 0.665 0.7
6640 0.736903490748 0.0095 0.01
6650 0.736901569138 0.0095 0.01
6660 0.736899647527 0.0095 0.01
6670 0.736857947898 0.665 0.7
6680 0.736723429968 0.665 0.7
6690 0.736588908997 0.665 0.7
6700 0.736454384982 0.665 0.7
6710 0.736319857921 0.665 0.7
6720 0.736185327813 0.665 0.7
6730 0.736050794655 0.665 0.7
6740 0.735942781543 0.0095 0.01
6750 0.735940859622 0.0095 0.01
6760 0.7359389377 0.0095 0.01
6770 0.735910492935 0.665 0.7
6780 0.73577595354 0.665 0.7
6790 0.73564141109 0.665 0.7
6800 0.735506865582 0.665 0.7
6810 0.735372317013 0.665 0.7
6820 0.735237765383 0.665 0.7
6830 0.735103210689 0.665 0.7
6840 0.734981916615 0.0095 0.01
6850 0.734979994382 0.0095 0.01
6860 0.734978072149 0.0095 0.01
6870 0.734962886495 0.665 0.7
6880 0.734828325535 0.665 0.7
6890 0.734693761506 0.665 0.7
6900 0.734559194404 0.665 0.7
6910 0.734424624227 0.665 0.7
6920 0.734290050974 0.665 0.7
6930 0.734155474643 0.665 0.7
6940 0.734020895232 0.0095 0.01
6950 0.734018972681 0.0095 0.01
6960 0.734017050134 0.0095 0.01
6970 0.734015127586 0.665 0.7
6980 0.733880545244 0.665 0.7
6990 0.733745959534 0.665 0.7
7000 0.733611370736 0.665 0.7
7010 0.73347677885 0.665 0.7
7020 0.733342183873 0.665 0.7
7030 0.733207585803 0.665 0.7
7040 0.733072984638 0.0095 0.01
7050 0.733057793771 0.0095 0.01
7060 0.733055870908 0.0095 0.01
7070 0.733053948045 0.665 0.7
7080 0.732932611949 0.665 0.7
7090 0.732798004454 0.665 0.7
7100 0.732663393859 0.665 0.7
7110 0.73252878016 0.665 0.7
7120 0.732394163355 0.665 0.7
7130 0.732259543442 0.665 0.7
7140 0.73212492042 0.665 0.7
7150 0.732096456895 0.0095 0.01
7160 0.732094533715 0.0095 0.01
7170 0.732092610535 0.0095 0.01
7180 0.731984524921 0.665 0.7
7190 0.731849895539 0.665 0.7
7200 0.731715263041 0.665 0.7
7210 0.731580627424 0.665 0.7
7220 0.731445988687 0.665 0.7
7230 0.731311346827 0.665 0.7
7240 0.731176701842 0.665 0.7
7250 0.731134961285 0.0095 0.01
7260 0.731133037787 0.0095 0.01
7270 0.731131114289 0.0095 0.01
7280 0.731036283424 0.665 0.7
7290 0.730901632049 0.665 0.7
7300 0.730766977543 0.665 0.7
7310 0.730632319903 0.665 0.7
7320 0.730497659128 0.665 0.7
7330 0.730362995215 0.665 0.7
7340 0.730228328162 0.665 0.7
7350 0.730173306166 0.0095 0.01
7360 0.730171382349 0.0095 0.01
7370 0.730169458531 0.0095 0.01
7380 0.730087886713 0.665 0.7
7390 0.729953213239 0.665 0.7
7400 0.729818536618 0.665 0.7
7410 0.729683856848 0.665 0.7
7420 0.729549173927 0.665 0.7
7430 0.729414487853 0.665 0.7
7440 0.729279798624 0.665 0.7
7450 0.729211490752 0.0095 0.01
7460 0.729209566613 0.0095 0.01
7470 0.729207642474 0.0095 0.01
7480 0.729139334033 0.665 0.7
7490 0.729004638352 0.665 0.7
7500 0.728869939508 0.665 0.7
7510 0.7287352375 0.665 0.7
7520 0.728600532325 0.665 0.7
7530 0.728465823983 0.665 0.7
7540 0.728331112469 0.665 0.7
7550 0.728249514249 0.0095 0.01
7560 0.728247589787 0.0095 0.01
7570 0.728245665324 0.0095 0.01
7580 0.728190624622 0.665 0.7
7590 0.728055906624 0.665 0.7
7600 0.727921185448 0.665 0.7
7610 0.727786461092 0.665 0.7
7620 0.727651733555 0.665 0.7
7630 0.727517002833 0.665 0.7
7640 0.727382268925 0.665 0.7
7650 0.727287375852 0.0095 0.01
7660 0.727285451065 0.0095 0.01
