%time SOC Ptotal Psensor1 Psensor2 Pmcu Prf Ppv Ipv
1970 0.774809089525 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
1980 0.774826413035 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
1990 0.774843734569 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
2000 0.774861054125 2.1125 2 0.15 0.3 0.3 1 0.171428571429
2010 0.774507953449 1.0285 2 0.01 0.01 0.01 1 0.285714285714
2020 0.774223690074 1.0285 2 0.01 0.01 0.01 1 0.285714285714
2030 0.773939446353 1.0285 2 0.01 0.01 0.01 1 0.285714285714
2040 0.773655222281 1.0285 2 0.01 0.01 0.01 1 0.285714285714
2050 0.773371017854 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
2060 0.773430737364 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
2070 0.773528656526 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
2080 0.773626563335 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
2090 0.773724457791 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
2100 0.773822339898 1.7125 2 0.15 0.3 0.3 0.4 0.285714285714
2110 0.773388846653 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
2120 0.772983980468 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
2130 0.772579134949 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
2140 0.772174310082 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
2150 0.771769505854 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
2160 0.771708726958 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
2170 0.771686173789 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
2180 0.771663623059 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
2190 0.771641074769 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
2200 0.771618528918 2.3125 2 0.15 0.3 0.3 0.8 0.114285714286
2210 0.771225381192 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
2220 0.770901105518 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
2230 0.770576850253 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
2240 0.770252615388 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
2250 0.769928400914 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
2260 0.769948294506 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
2270 0.770006413528 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
2280 0.77006452556 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
2290 0.770122630603 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
2300 0.770180728656 1.9125 2 0.15 0.3 0.3 0.6 0.228571428571
2310 0.769771555483 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
2320 0.769407122714 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
2330 0.769042710636 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
2340 0.768678319235 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
2350 0.768313948499 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
2360 0.768293775722 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
2370 0.768311843299 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
2380 0.768329908811 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
2390 0.768347972258 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
2400 0.768366033641 2.1125 2 0.15 0.3 0.3 1.2 0.171428571429
2410 0.768045520143 0.8285 2 0.01 0.01 0.01 1.2 0.342857142857
2420 0.767801960055 0.8285 2 0.01 0.01 0.01 1.2 0.342857142857
2430 0.767558418195 0.8285 2 0.01 0.01 0.01 1.2 0.342857142857
2440 0.76731489456 0.8285 2 0.01 0.01 0.01 1.2 0.342857142857
2450 0.767071389144 -1.0715 0.1 0.01 0.01 0.01 1.2 0.342857142857
2460 0.767172125675 -1.0715 0.1 0.01 0.01 0.01 1.2 0.342857142857
